Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
1,LeBron James,CLE,"$30,963,450 ","$33,285,709 ","$35,607,968 ",,,,Early Bird,"$64,249,159 "
2,Mike Conley,MEM,"$26,540,100 ","$28,530,608 ","$30,521,115 ","$32,511,623 ","$34,504,132 ",,Cap Space,"$140,529,829 "
3,DeMar DeRozan,TOR,"$26,540,100 ","$27,739,975 ","$27,739,975 ","$27,739,975 ","$27,739,975 ",,Cap Space,"$109,760,025 "
4,James Harden,HOU,"$26,540,100 ","$28,299,339 ","$30,431,854 ","$32,703,493 ",,,Bird Rights,"$85,271,293 "
5,Al Horford,BOS,"$26,540,100 ","$27,734,405 ","$28,928,710 ","$30,123,015 ",,,Cap Space,"$83,203,215 "
6,Russell Westbrook,OKC,"$26,540,100 ","$28,530,608 ","$30,670,404 ",,,,Bird Rights,"$55,070,708 "
7,Kevin Durant,GSW,"$26,540,100 ","$27,734,406 ",,,,,Cap Space,"$26,540,100 "
8,Dirk Nowitzki,DAL,"$25,000,000 ","$25,000,000 ",,,,,Bird Rights,"$25,000,000 "
9,Carmelo Anthony,NYK,"$24,559,380 ","$26,243,760 ","$27,928,140 ",,,,Bird Rights,"$50,803,140 "
10,Damian Lillard,POR,"$24,328,425 ","$26,153,057 ","$27,977,689 ","$29,802,321 ","$31,626,953 ",,1st Round Pick,"$139,888,445 "
11,Chris Bosh,MIA,"$23,741,060 ","$25,289,390 ","$26,837,720 ",,,,Bird Rights,"$75,868,170 "
12,Dwyane Wade,CHI,"$23,200,000 ","$23,800,000 ",,,,,Cap Space,"$23,200,000 "
13,Dwight Howard,ATL,"$23,180,275 ","$23,500,000 ","$23,819,725 ",,,,Cap Space,"$70,500,000 "
14,Chris Paul,LAC,"$22,868,828 ","$24,268,960 ",,,,,Bird Rights,"$22,868,828 "
15,Bradley Beal,WAS,"$22,116,750 ","$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,Cap Space,"$127,171,313 "
16,Anthony Davis,NOP,"$22,116,750 ","$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,1st Round Pick,"$127,171,313 "
17,Andre Drummond,DET,"$22,116,750 ","$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,Cap Space,"$98,419,538 "
18,Chandler Parsons,MEM,"$22,116,750 ","$23,112,004 ","$24,107,258 ","$25,102,511 ",,,Cap Space,"$94,438,523 "
19,Hassan Whiteside,MIA,"$22,116,750 ","$23,775,506 ","$25,434,263 ","$27,093,018 ",,,Cap Space,"$71,326,519 "
20,Harrison Barnes,DAL,"$22,116,750 ","$23,112,004 ","$24,107,258 ","$25,102,512 ",,,Cap Space,"$69,336,012 "
21,Derrick Rose,NYK,"$21,323,250 ",,,,,,Bird Rights,"$21,323,250 "
22,Marc Gasol,MEM,"$21,165,675 ","$22,642,350 ","$24,119,025 ","$25,595,700 ",,,Bird Rights,"$67,927,050 "
23,Kevin Love,CLE,"$21,165,675 ","$22,642,350 ","$24,119,025 ","$25,595,700 ",,,Bird Rights,"$67,927,050 "
24,DeAndre Jordan,LAC,"$21,165,675 ","$22,642,350 ","$24,119,025 ",,,,Bird Rights,"$43,808,025 "
25,Brook Lopez,BRK,"$21,165,675 ","$22,642,350 ",,,,,Bird Rights,"$43,808,025 "
